Adobe After Effects 8.0 Keyframe Data

	Units Per Second	50
	Source Width	120
	Source Height	84
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Y Position
	Frame		
	2406	40	
	2408	40.5958	
	2410	41.0725	
	2412	41.4687	
	2414	41.8016	
	2416	42.0807	
	2418	42.3119	
	2420	42.4992	
	2422	42.6453	
	2424	42.752	
	2426	42.821	
	2428	42.8531	
	2430	42.8492	
	2432	42.8098	
	2434	42.7352	
	2436	42.6255	
	2438	42.4809	
	2440	42.3013	
	2442	42.0864	
	2444	41.8362	
	2446	41.5501	
	2448	41.2279	
	2450	40.8691	
	2452	40.4731	
	2454	40.0392	
	2456	39.5668	
	2458	39.0551	
	2460	38.5032	
	2462	37.9103	
	2464	37.2753	
	2466	36.5972	
	2468	35.8747	
	2470	35.1067	
	2472	34.2917	
	2474	33.4282	
	2476	32.5148	
	2478	31.5496	
	2480	30.5309	
	2482	29.4566	
	2484	28.3246	
	2486	27.1325	
	2488	25.8779	
	2490	24.5579	
	2492	23.1696	
	2494	21.7096	
	2496	20.1745	
	2498	18.5603	
	2499	17.7222	

Transform	X Position
	Frame		
	2406	111	
	2408	111.538	
	2410	111.888	
	2412	112.049	
	2414	112.018	
	2416	111.793	
	2418	111.372	
	2420	110.752	
	2422	109.93	
	2424	108.904	
	2426	107.672	
	2428	106.229	
	2430	104.574	
	2432	102.704	
	2434	100.614	
	2436	98.3014	
	2438	95.7632	
	2440	92.9952	
	2442	89.9936	
	2444	86.7544	
	2446	83.2732	
	2448	79.5454	
	2450	75.5664	
	2452	71.3309	
	2454	66.8337	
	2456	62.0689	
	2458	57.0306	
	2460	51.7121	
	2462	46.1065	
	2464	40.2061	
	2466	34.003	
	2468	27.4882	
	2470	20.6521	
	2472	13.4842	
	2474	5.97284	
	2476	-1.89488	
	2478	-10.1334	
	2480	-18.7589	
	2482	-27.79	
	2484	-37.248	
	2486	-47.158	
	2488	-57.5496	
	2490	-68.4592	
	2492	-79.9317	
	2494	-92.0252	
	2496	-104.814	
	2498	-118.359	
	2499	-125	


End of Keyframe Data
